Area,Room,Parking,Warehouse,Elevator,Address,Price,Price(USD)
75,2,False,False,False,Air force,1650000000.0,55000.0
105,2,True,True,True,Air force,3990000000.0,133000.0
86,2,True,False,True,Air force,3000000000.0,100000.0
86,2,True,True,True,Air force,2924000000.0,97466.67
104,2,True,False,True,Air force,4200000000.0,140000.0
85,2,True,True,False,Air force,2700000000.0,90000.0
65,1,True,True,True,Air force,1690000000.0,56333.33
88,2,False,True,False,Air force,2500000000.0,83333.33
65,2,True,False,True,Air force,1750000000.0,58333.33
