Area,Room,Parking,Warehouse,Elevator,Address,Price,Price(USD)
170,2,True,True,True,Kook,7140000000.0,238000.0
100,2,True,True,True,Kook,3580000000.0,119333.33
128,3,True,True,True,Kook,3950000000.0,131666.67
190,3,True,True,True,Kook,13000000000.0,433333.33
200,3,True,True,True,Kook,12000000000.0,400000.0
193,3,True,True,True,Kook,13000000000.0,433333.33
140,3,True,True,True,Kook,1792000000.0,59733.33
175,3,True,True,True,Kook,10500000000.0,350000.0
193,3,True,True,True,Kook,13000000000.0,433333.33
